Ort,Startpunkt,Datum,Uhrzeit,Breitengrad,Längengrad,Aufruf_Link,Aufruf_Link_href
Heilbronn,Hbf #wählliebe,15.02.2025,11:55 Uhr,49.14,9.21,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Magdeburg,Willy-Brandt-Platz #wählliebe,15.02.2025,11:55 Uhr,52.11,11.63,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Braunschweig,Schloßplatz #wählliebe,15.02.2025,11:55 Uhr,52.26,10.52,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Darmstadt,Friedensplatz #wählliebe,15.02.2025,11:55 Uhr,49.87,8.65,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Neubrandenburg,Marktplatz #wählliebe,15.02.2025,11:55 Uhr,53.53,13.26,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Nürnberg,Kornmarkt #wählliebe,15.02.2025,11:55 Uhr,49.45,11.09,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Wilhelmshaven,Valoisplatz #wählliebe,15.02.2025,11:55 Uhr,53.54,8.12,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Düsseldorf,Ort noch unklar #wählliebe,15.02.2025,11:55 Uhr,51.24,6.8,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Potsdam,Alter Markt #wählliebe,15.02.2025,11:55 Uhr,52.4,13.06,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Mainz,Schillerplatz #wählliebe,15.02.2025,11:55 Uhr,49.99,8.28,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Kiel,Rathausplatz #wählliebe,15.02.2025,11:55 Uhr,54.32,10.13,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Recklinghausen,Busbahnhof #wählliebe,15.02.2025,11:55 Uhr,51.62,7.19,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Gelnhausen,Obermarkt #wählliebe,15.02.2025,11:55 Uhr,50.21,9.2,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Münster,Schlossplatz  #wählliebe,15.02.2025,11:55 Uhr,51.89,7.66,https://www.waehl-liebe.de/demonstrationen/#weitere_orte,"<a href=""https://www.waehl-liebe.de/demonstrationen/#weitere_orte"">Link</a>"
Rösrath,Bahnhof,22.02.2025,11:55 Uhr,,,https://roesrath-fuer-demokratie.de/2025/01/20/wir-haben-die-wahl-es-ist-5-vor-12-fuer-die-demokratie-grosse-demonstration-in-roesrath-am-22-2-2025/,"<a href=""https://roesrath-fuer-demokratie.de/2025/01/20/wir-haben-die-wahl-es-ist-5-vor-12-fuer-die-demokratie-grosse-demonstration-in-roesrath-am-22-2-2025/"">Link</a>"
